X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.2820507166,0.3437927233,0.1476295480,0.3813671444,0.2460639471,0.1936714443,0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193
0.3437927233,0.1476295480,0.3813671444,0.2460639471,0.1936714443,0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300
0.1476295480,0.3813671444,0.2460639471,0.1936714443,0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432
0.3813671444,0.2460639471,0.1936714443,0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740
0.2460639471,0.1936714443,0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979
0.1936714443,0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020
0.1525689085,0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144
0.5429547960,0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857
0.1619184123,0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151
0.4055347299,0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365
0.1867916207,0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111
0.7205953693,0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674
0.1467475193,0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705
0.1132304300,0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988
0.2367144432,0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632
0.1238147740,0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888
0.2137816979,0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508
0.1185226020,0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379
0.3681367144,0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779
0.4995589857,0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746
0.2143109151,0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938
0.3072767365,0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845
0.6572657111,1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326
1.3420727674,0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014
0.1975523705,0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090
0.1153472988,0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845
0.1296361632,0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160
0.3150385888,0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727
0.3877177508,0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645
0.1873208379,0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410
0.3208599779,0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246
0.2899889746,0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622
0.3090407938,0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732
0.3549062845,0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612
0.4579272326,0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452
0.3000441014,0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418
0.4510474090,0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410
0.3549062845,0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080
0.1158765160,0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298
0.1114663727,0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891
0.3019845645,0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347
0.3228004410,0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377
0.3561411246,0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497
0.3603748622,0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465
0.2499448732,0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286
0.2711135612,0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891
0.2552370452,0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097
0.3566703418,0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195
0.4828004410,0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772
0.3617861080,0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233
0.2178390298,0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000
0.2381256891,0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845
0.6641455347,0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859
0.4519294377,0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885
0.2707607497,0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439
0.2675854465,0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725
0.2331863286,0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524
0.3981256891,0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256
0.4572216097,0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558
0.6821389195,0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594
0.2869900772,0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172
0.1837927233,0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614
0.1000000000,0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933
0.1949062845,0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598
0.2349503859,0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692
0.2596471885,0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552
0.2428886439,0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813
