X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
26.3,26,26.9,27,27.3,27.8,26.9,26.5,26.6,26,26.1,25.7,25.3
26,26.9,27,27.3,27.8,26.9,26.5,26.6,26,26.1,25.7,25.3,25.7
26.9,27,27.3,27.8,26.9,26.5,26.6,26,26.1,25.7,25.3,25.7,26.4
27,27.3,27.8,26.9,26.5,26.6,26,26.1,25.7,25.3,25.7,26.4,26.8
27.3,27.8,26.9,26.5,26.6,26,26.1,25.7,25.3,25.7,26.4,26.8,27.5
27.8,26.9,26.5,26.6,26,26.1,25.7,25.3,25.7,26.4,26.8,27.5,28
26.9,26.5,26.6,26,26.1,25.7,25.3,25.7,26.4,26.8,27.5,28,27.9
26.5,26.6,26,26.1,25.7,25.3,25.7,26.4,26.8,27.5,28,27.9,26.8
26.6,26,26.1,25.7,25.3,25.7,26.4,26.8,27.5,28,27.9,26.8,26.4
26,26.1,25.7,25.3,25.7,26.4,26.8,27.5,28,27.9,26.8,26.4,26.2
26.1,25.7,25.3,25.7,26.4,26.8,27.5,28,27.9,26.8,26.4,26.2,26.2
25.7,25.3,25.7,26.4,26.8,27.5,28,27.9,26.8,26.4,26.2,26.2,25.7
25.3,25.7,26.4,26.8,27.5,28,27.9,26.8,26.4,26.2,26.2,25.7,25.9
25.7,26.4,26.8,27.5,28,27.9,26.8,26.4,26.2,26.2,25.7,25.9,25.6
26.4,26.8,27.5,28,27.9,26.8,26.4,26.2,26.2,25.7,25.9,25.6,26.2
26.8,27.5,28,27.9,26.8,26.4,26.2,26.2,25.7,25.9,25.6,26.2,26.8
27.5,28,27.9,26.8,26.4,26.2,26.2,25.7,25.9,25.6,26.2,26.8,27.8
28,27.9,26.8,26.4,26.2,26.2,25.7,25.9,25.6,26.2,26.8,27.8,27.3
27.9,26.8,26.4,26.2,26.2,25.7,25.9,25.6,26.2,26.8,27.8,27.3,27.4
26.8,26.4,26.2,26.2,25.7,25.9,25.6,26.2,26.8,27.8,27.3,27.4,27.1
26.4,26.2,26.2,25.7,25.9,25.6,26.2,26.8,27.8,27.3,27.4,27.1,26.6
26.2,26.2,25.7,25.9,25.6,26.2,26.8,27.8,27.3,27.4,27.1,26.6,26.7
26.2,25.7,25.9,25.6,26.2,26.8,27.8,27.3,27.4,27.1,26.6,26.7,26.2
25.7,25.9,25.6,26.2,26.8,27.8,27.3,27.4,27.1,26.6,26.7,26.2,25.6
25.9,25.6,26.2,26.8,27.8,27.3,27.4,27.1,26.6,26.7,26.2,25.6,26.9
25.6,26.2,26.8,27.8,27.3,27.4,27.1,26.6,26.7,26.2,25.6,26.9,26.5
26.2,26.8,27.8,27.3,27.4,27.1,26.6,26.7,26.2,25.6,26.9,26.5,27.5
26.8,27.8,27.3,27.4,27.1,26.6,26.7,26.2,25.6,26.9,26.5,27.5,28
27.8,27.3,27.4,27.1,26.6,26.7,26.2,25.6,26.9,26.5,27.5,28,28.1
27.3,27.4,27.1,26.6,26.7,26.2,25.6,26.9,26.5,27.5,28,28.1,27.6
27.4,27.1,26.6,26.7,26.2,25.6,26.9,26.5,27.5,28,28.1,27.6,27
27.1,26.6,26.7,26.2,25.6,26.9,26.5,27.5,28,28.1,27.6,27,27.5
